[2022-12-06 20:30:06,994][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 362]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:07,756][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 362]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:07,976][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:08,180][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:08,400][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:08,604][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:08,814][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:09,022][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:09,261][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:09,461][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:09,666][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:09,872][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 362]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:10,097][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:10,304][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:10,543][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 362]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:10,741][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:10,948][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:11,153][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 362]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:11,356][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:11,574][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:11,807][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:12,023][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:12,240][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:12,454][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:12,678][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:12,893][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:13,143][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:13,359][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:13,576][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:13,788][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:13,992][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:14,205][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:14,454][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:14,657][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:14,859][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:15,064][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:15,265][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:15,495][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:15,713][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:15,933][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:16,158][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:16,367][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:16,599][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:16,816][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:17,027][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:17,246][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:17,471][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:17,709][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:17,921][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:18,132][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 365]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:18,349][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 365]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:18,564][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 365]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:18,795][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 365]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:19,000][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 365]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:19,219][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 365]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:19,431][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 365]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:19,647][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:19,879][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:20,084][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:20,303][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
