[2022-12-31 21:56:25,007][__main__][INFO] - Processing female-4-casual_28.png...

[2022-12-31 21:56:26,820][__main__][INFO] - Processing female-1-casual_28.png...

[2022-12-31 21:56:26,887][__main__][INFO] - Processing female-3-casual_24.png...

[2022-12-31 21:56:26,960][__main__][INFO] - Processing female-4-sport_10.png...

[2022-12-31 21:56:27,051][__main__][INFO] - Processing female-4-casual_12.png...

[2022-12-31 21:56:27,132][__main__][INFO] - Processing female-3-casual_28.png...

[2022-12-31 21:56:27,205][__main__][INFO] - Processing female-1-casual_34.png...

[2022-12-31 21:56:27,277][__main__][INFO] - Processing female-4-sport_24.png...

[2022-12-31 21:56:27,348][__main__][INFO] - Processing female-4-casual_46.png...

[2022-12-31 21:56:27,416][__main__][INFO] - Processing female-1-casual_14.png...

[2022-12-31 21:56:27,495][__main__][INFO] - Processing female-3-casual_44.png...

[2022-12-31 21:56:27,558][__main__][INFO] - Processing female-3-casual_40.png...

[2022-12-31 21:56:27,624][__main__][INFO] - Processing female-1-casual_32.png...

[2022-12-31 21:56:27,701][__main__][INFO] - Processing female-3-casual_36.png...

[2022-12-31 21:56:27,774][__main__][INFO] - Processing female-1-casual_2.png...

[2022-12-31 21:56:27,852][__main__][INFO] - Processing female-3-sport_8.png...

[2022-12-31 21:56:27,928][__main__][INFO] - Processing female-4-sport_42.png...

[2022-12-31 21:56:28,003][__main__][INFO] - Processing female-4-sport_38.png...

[2022-12-31 21:56:28,079][__main__][INFO] - Processing female-4-sport_46.png...

[2022-12-31 21:56:28,153][__main__][INFO] - Processing female-3-sport_34.png...

[2022-12-31 21:56:28,234][__main__][INFO] - Processing female-4-casual_38.png...

[2022-12-31 21:56:28,310][__main__][INFO] - Processing female-4-sport_36.png...

[2022-12-31 21:56:28,388][__main__][INFO] - Processing female-4-casual_10.png...

[2022-12-31 21:56:28,460][__main__][INFO] - Processing female-4-casual_42.png...

[2022-12-31 21:56:28,536][__main__][INFO] - Processing female-3-sport_12.png...

[2022-12-31 21:56:28,610][__main__][INFO] - Processing female-3-sport_30.png...

[2022-12-31 21:56:28,681][__main__][INFO] - Processing female-3-casual_8.png...

[2022-12-31 21:56:28,750][__main__][INFO] - Processing female-1-casual_10.png...

[2022-12-31 21:56:28,812][__main__][INFO] - Processing female-3-sport_26.png...

[2022-12-31 21:56:28,880][__main__][INFO] - Processing female-1-casual_4.png...

[2022-12-31 21:56:28,949][__main__][INFO] - Processing female-3-sport_40.png...

[2022-12-31 21:56:29,037][__main__][INFO] - Processing female-4-casual_14.png...

[2022-12-31 21:56:29,117][__main__][INFO] - Processing female-3-sport_6.png...

[2022-12-31 21:56:29,197][__main__][INFO] - Processing female-1-casual_26.png...

[2022-12-31 21:56:29,272][__main__][INFO] - Processing female-1-casual_12.png...

[2022-12-31 21:56:29,347][__main__][INFO] - Processing female-1-casual_0.png...

[2022-12-31 21:56:29,420][__main__][INFO] - Processing female-4-sport_34.png...

[2022-12-31 21:56:29,502][__main__][INFO] - Processing female-4-casual_4.png...

[2022-12-31 21:56:29,575][__main__][INFO] - Processing female-4-casual_34.png...

[2022-12-31 21:56:29,646][__main__][INFO] - Processing female-4-casual_6.png...

[2022-12-31 21:56:29,711][__main__][INFO] - Processing female-1-casual_44.png...

[2022-12-31 21:56:29,784][__main__][INFO] - Processing female-4-sport_30.png...

[2022-12-31 21:56:29,856][__main__][INFO] - Processing female-3-casual_10.png...

[2022-12-31 21:56:29,927][__main__][INFO] - Processing female-3-sport_48.png...

[2022-12-31 21:56:29,999][__main__][INFO] - Processing female-1-casual_16.png...

[2022-12-31 21:56:30,069][__main__][INFO] - Processing female-4-casual_30.png...

[2022-12-31 21:56:30,141][__main__][INFO] - Processing female-4-sport_26.png...

[2022-12-31 21:56:30,219][__main__][INFO] - Processing female-3-casual_20.png...

[2022-12-31 21:56:30,293][__main__][INFO] - Processing female-1-casual_8.png...

[2022-12-31 21:56:30,364][__main__][INFO] - Processing female-4-sport_20.png...

[2022-12-31 21:56:30,434][__main__][INFO] - Processing female-4-casual_48.png...

[2022-12-31 21:56:30,511][__main__][INFO] - Processing female-4-casual_26.png...

[2022-12-31 21:56:30,574][__main__][INFO] - Processing female-3-sport_22.png...

[2022-12-31 21:56:30,642][__main__][INFO] - Processing female-4-sport_44.png...

[2022-12-31 21:56:30,717][__main__][INFO] - Processing female-4-sport_28.png...

[2022-12-31 21:56:30,802][__main__][INFO] - Processing female-1-casual_24.png...

[2022-12-31 21:56:30,876][__main__][INFO] - Processing female-3-sport_4.png...

[2022-12-31 21:56:30,945][__main__][INFO] - Processing female-1-casual_6.png...

[2022-12-31 21:56:31,018][__main__][INFO] - Processing female-1-casual_18.png...

[2022-12-31 21:56:31,091][__main__][INFO] - Processing female-3-casual_0.png...

[2022-12-31 21:56:31,171][__main__][INFO] - Processing female-4-casual_16.png...

[2022-12-31 21:56:31,247][__main__][INFO] - Processing female-3-sport_28.png...

[2022-12-31 21:56:31,327][__main__][INFO] - Processing female-4-sport_32.png...

[2022-12-31 21:56:31,388][__main__][INFO] - Processing female-4-casual_24.png...

[2022-12-31 21:56:31,460][__main__][INFO] - Processing female-3-casual_2.png...

[2022-12-31 21:56:31,532][__main__][INFO] - Processing female-4-sport_22.png...

[2022-12-31 21:56:31,610][__main__][INFO] - Processing female-3-casual_46.png...

[2022-12-31 21:56:31,680][__main__][INFO] - Processing female-3-casual_32.png...

[2022-12-31 21:56:31,757][__main__][INFO] - Processing female-3-sport_32.png...

[2022-12-31 21:56:31,827][__main__][INFO] - Processing female-3-casual_6.png...

[2022-12-31 21:56:31,891][__main__][INFO] - Processing female-4-casual_18.png...

[2022-12-31 21:56:31,965][__main__][INFO] - Processing female-4-sport_6.png...

[2022-12-31 21:56:32,038][__main__][INFO] - Processing female-3-sport_20.png...

[2022-12-31 21:56:32,109][__main__][INFO] - Processing female-1-casual_42.png...

[2022-12-31 21:56:32,179][__main__][INFO] - Processing female-1-casual_22.png...

[2022-12-31 21:56:32,251][__main__][INFO] - Processing female-4-casual_40.png...

[2022-12-31 21:56:32,322][__main__][INFO] - Processing female-4-sport_40.png...

[2022-12-31 21:56:32,397][__main__][INFO] - Processing female-3-sport_42.png...

[2022-12-31 21:56:32,473][__main__][INFO] - Processing female-3-sport_0.png...

[2022-12-31 21:56:32,551][__main__][INFO] - Processing female-1-casual_38.png...

[2022-12-31 21:56:32,629][__main__][INFO] - Processing female-3-sport_14.png...

[2022-12-31 21:56:32,707][__main__][INFO] - Processing female-1-casual_36.png...

