[2023-01-23 22:47:01,084][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00391_female.png...

[2023-01-23 22:47:27,118][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00435_female.png...

[2023-01-23 22:47:54,302][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00389_female.png...

[2023-01-23 22:48:20,145][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00418_female.png...

[2023-01-23 22:48:46,679][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00388_female.png...

[2023-01-23 22:49:13,242][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00439_female.png...

[2023-01-23 22:49:40,672][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00436_female.png...

[2023-01-23 22:50:07,551][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00405_female.png...

[2023-01-23 22:50:35,439][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00411_female.png...

[2023-01-23 22:51:01,777][__main__][INFO] - Processing 026_71_51 | Photos_Lab | 00447_female.png...

[2023-01-23 22:51:29,416][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00379_female.png...

[2023-01-23 22:51:56,517][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00380_female.png...

[2023-01-23 22:52:21,798][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00381_female.png...

[2023-01-23 22:52:50,442][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00377_female.png...

[2023-01-23 22:53:17,943][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00373_female.png...

[2023-01-23 22:53:44,435][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00378_female.png...

[2023-01-23 22:54:08,512][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00375_female.png...

[2023-01-23 22:54:33,930][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00374_female.png...

[2023-01-23 22:55:00,707][__main__][INFO] - Processing 029_66_21 | Photos_Lab | 01800_female.png...

[2023-01-23 22:55:27,239][__main__][INFO] - Processing 029_66_21 | Photos_Lab | 01848_female.png...

