[2023-01-23 22:57:45,646][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00379_female.png...

[2023-01-23 22:58:11,093][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00380_female.png...

[2023-01-23 22:58:34,708][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00381_female.png...

[2023-01-23 22:58:59,877][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00377_female.png...

[2023-01-23 22:59:25,789][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00373_female.png...

[2023-01-23 22:59:52,702][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00378_female.png...

[2023-01-23 23:00:17,887][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00375_female.png...

[2023-01-23 23:00:43,369][__main__][INFO] - Processing 026_71_51 | Pictures_in_the_Wild | 00374_female.png...

[2023-01-23 23:01:08,278][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01783_female.png...

[2023-01-23 23:01:35,002][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01782_female.png...

[2023-01-23 23:02:01,703][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01771_female.png...

[2023-01-23 23:02:29,004][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01775_female.png...

[2023-01-23 23:02:55,473][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01786_female.png...

[2023-01-23 23:03:20,971][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01770_female.png...

[2023-01-23 23:03:48,602][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01777_female.png...

[2023-01-23 23:04:15,541][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01781_female.png...

[2023-01-23 23:04:43,619][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01784_female.png...

[2023-01-23 23:05:10,980][__main__][INFO] - Processing 029_66_21 | Pictures_in_the_Wild | 01766_female.png...

[2023-01-23 23:05:38,780][__main__][INFO] - Processing 020_12_25 | Pictures_in_the_Wild | 00299_male.png...

